price(USD),title,artist,year created,time period,art movement,condition,signed,age of artwork(years)
28500,Bayreuth Opera,Tommaso Ottieri,2021,Contemporary,Baroque,This work is in excellent condition.,Signed on verso,3
5000,Two on Sidewalk,Leo Gabin,2016,Contemporary,Abstract,This work is in excellent condition.,"Signed, titled and dated on verso",8
5000,Blumenszene,Matthias Dornfeld,2010,Contemporary,Abstract,This work is in excellent condition.There is minor craquelure inherent to the artist's work.,"Signed, titled and dated on the reverse with the artist's stamp",14
2500,Feverish Embarkation,Alexis Marguerite Teplin,2001,Contemporary,Abstract,This work is in excellent condition.,Signed on verso,23
7575,Bamboo,Kenzo Okada,1977,Contemporary,Abstract Expressionism,"This work is in excellent condition, direct from the publisher.",Signed lower right recto; numbered lower left recto ,47
7550,Air,Francesco Clemente,2007,Contemporary,Neo-Expressionism,"This work is in excellent condition, direct from the publisher.","Numbered and signed on bottom corner, recto",17
3550,Untitled (Green),Günther  Förg,1993,Contemporary,Modernism,"This work is in very good condition, direct from the publisher.",Signed lower right recto; numbered lower left recto ,31
3075,Manifold - Blue,Dan Walsh,2014,Contemporary,Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right recto; numbered lower left recto ,10
3550,Untitled (Orange/Black),Günther  Förg,1993,Contemporary,Modernism,"This work is in excellent condition, direct from the publisher.",Signed lower right recto; numbered lower left recto ,31
3075,Manifold - Red,Dan Walsh,2014,Contemporary,Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right recto; numbered lower left recto ,10
40000,Upstream,Friedel Dzubas,1973,Contemporary,Abstract,This work is in excellent condition.,Signed and dated on verso,51
7000,"Last Night, New Day",Chris Ofili,2008,Contemporary,"Punk, Young British Artists, Abstract","This work is in excellent condition, direct from the publisher.",Signed lower right,16
4000,Here's a Fine Revolution,Marcel Dzama,2015,Contemporary,Magic Realism ,"This work is in excellent condition, direct from the publisher.",Signed lower right,9
4000,CPP11,Leonardo Drew,2015,Contemporary,Post-Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right,9
5000,Cottonwood,Anne Appleby,2012,Contemporary,Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right,12
8000,Horizontal Bands (More or Less) Red/Green,Sol LeWitt,2002,Contemporary,Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right,22
5500,House and Bugs,Jockum Nordström,2008,Contemporary,Surrealism,"This work is in excellent condition, direct from the publisher.",Signed lower right,16
2500,Stradina,William Bailey,2002,Contemporary,Realism,"This work is in excellent condition, direct from the publisher.",Signed lower right corner,22
7000,Fly Away,Al Held,1992,Contemporary,Abstract Expressionism,"This work is in excellent condition, direct from the publisher.",Signed verso,32
6000,Untitled (small circles),Tomma Abts,2015,Contemporary,Abstract,"The work is in excellent condition, direct from the publisher.",Signed on lower right corner,9
7000,Trans Asian,Richard Tuttle,1993,Contemporary,Post-Minimalism,"This work is in excellent condition, direct from the publisher.",Signed lower right,31
